--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement
5, 1, 10, 1024, 447, 71, 422, 72, 5.593
10, 1, 10, 1024, 925, 108, 864, 94, 6.595
15, 1, 10, 1024, 1471, 123, 1272, 108, 13.528
20, 1, 10, 1024, 1852, 124, 1696, 122, 8.423
25, 1, 10, 1024, 2345, 126, 2002, 126, 14.627
30, 1, 10, 1024, 2694, 128, 2558, 128, 5.048
35, 1, 10, 1024, 3168, 128, 3058, 126, 3.472
40, 1, 10, 1024, 3629, 128, 3370, 128, 7.137
45, 1, 10, 1024, 4233, 128, 4014, 128, 5.174
50, 1, 10, 1024, 4763, 128, 4332, 128, 9.049
55, 1, 10, 1024, 5118, 128, 4812, 128, 5.979
60, 1, 10, 1024, 5468, 128, 5278, 128, 3.475
65, 1, 10, 1024, 6010, 128, 5762, 128, 4.126
70, 1, 10, 1024, 6480, 128, 6260, 128, 3.395
75, 1, 10, 1024, 6855, 128, 6764, 128, 1.327
80, 1, 10, 1024, 7444, 128, 7246, 128, 2.660
85, 1, 10, 1024, 7766, 128, 7670, 128, 1.236
90, 1, 10, 1024, 8379, 128, 8172, 128, 2.470
95, 1, 10, 1024, 8770, 128, 8688, 128, 0.935
100, 1, 10, 1024, 9234, 128, 9234, 128, 0.000

Total execution time: 0 seconds
