--------------------------------------------------------
%, #batches, #blks, #pgs/blk, baseline, baseline wearout, wla, wla wearout, improvement, % wearout
5, 10, 500, 4096, 640128, 179165, 506162, 157750, 20.928,11.953
10, 10, 500, 4096, 1273903, 261109, 1095450, 244625, 14.008,6.313
15, 10, 500, 4096, 1908282, 296185, 1724812, 290750, 9.614,1.835
20, 10, 500, 4096, 2540060, 310898, 2308287, 308625, 9.125,0.731
25, 10, 500, 4096, 3175023, 316821, 2918900, 316250, 8.067,0.180
30, 10, 500, 4096, 3806416, 318953, 3517487, 318000, 7.591,0.299
35, 10, 500, 4096, 4441821, 319666, 4154087, 319625, 6.478,0.013
40, 10, 500, 4096, 5076407, 319918, 4775437, 320000, 5.929,-0.026
45, 10, 500, 4096, 5706736, 319976, 5407387, 320000, 5.246,-0.008
50, 10, 500, 4096, 6339633, 319994, 6034837, 320000, 4.808,-0.002
55, 10, 500, 4096, 6980740, 319999, 6661050, 320000, 4.580,-0.000
